name,phone,address
Hosh Yoga,(718) 599-9642,657 Meeker Ave Brooklyn
SKY TING YOGA – Tribeca,(212) 203-5786,381 Broadway Fl 2 New York
Jaya Yoga East,(917) 740-5292,2902 Ft Hamilton Pkwy Brooklyn
Yoga Spa Lounge 1881,(212) 308-6789,226 E 54th St New York
Yogiando NYC,(212) 928-7635,715 W 179th St New York
YO BK – Greenpoint,(917) 740-7106,607 Manhattan Ave Ground Floor Brooklyn
Yoga Shunya,(201) 610-9737,275 Grove St Fl 3 Jersey City
Hot On Yoga 27th,(917) 573-9642,115 W 27th St Fl 3 New York
Alo Yoga,(718) 395-4125,241 Bedford Ave Brooklyn
Owl’s Head Yoga,(347) 719-2363,278 73rd St Brooklyn
Kundalini Yoga in Park Slope,(718) 369-6674,473 13th St Brooklyn
Bikram Yoga Bay Ridge,(718) 833-9200,8302 5th Ave Brooklyn
Come Back Daily,(212) 601-2752,516 E 11th St New York
Ishta Yoga,(212) 598-4800,56 E 11th St New York
Ditmas Park Yoga Society,(929) 251-3831,E 19th St & Cortelyou Rd Brooklyn
The Yoga Room,(718) 274-0255,38-01 35th Ave Astoria
ZenGirl Fitness,(917) 549-8667,224 W 4th St Sutie 204 New York
Third Root Community Health Center,(718) 940-9343,380 Marlborough Rd Brooklyn
World Yoga Center,(212) 787-4908,265 W 72nd St Fl 2 New York
Yoga La Vie,(929) 390-3300,215 E 73rd St New York
Dharma Yoga Center,(212) 889-8160,46 W 24th St Ground Floor New York
Iyengar Yoga Institute of New York,(212) 691-9642,150 W 22nd St Fl 2 New York
NuYu Revolution,(212) 663-1114,2637 Broadway 2nd Fl New York
Sakshi Bhava Yoga,(347) 492-6332,1504 Sheepshead Bay Rd Fl 3 Right Side Brooklyn
Kula Yoga Project,(212) 945-4460,28 Warren St Fl 4 New York
The Shala Yoga House,(212) 979-9988,816 Broadway Ste 1 New York
Vitality Yoga and Tai Chi,(718) 225-8800,4125 Bell Blvd Fl 2 Bayside
Sivananda Yoga Vedanta Center,(212) 255-4560,243 W 24th St New York
NY Loves Yoga,(212) 877-9642,140 W 83rd St New York
Yoga 216,(212) 337-3530,511 W 20th St New York
Body Evolution,(212) 375-0430,266 E 10th St New York
Yoga Pole Studio,(917) 365-3896,43 Schermerhorn St 2 nd Fl Brooklyn
Stacked Yoga,(917) 742-8276,405 Tompkins Ave Brooklyn
Atmananda Yoga Studio,(212) 625-1511,32-14 Steinway St Fl 2 Astoria
Shala Yoga,(212) 979-9988,83 Lafayette Ave New York
Five Pillars Yoga,(212) 426-6111,1298 Madison Ave New York
Loom Yoga,(646) 504-0121,1087 Flushing Ave Shop 117 Brooklyn
Abhaya Yoga Gowanus,(718) 682-3182,43D 9th St Brooklyn
Yoga Vida – Tribeca,(212) 343-7001,416 Washington St Retail Unit 2 (On Vestry)
Living Yoga,(718) 261-9642,117-20 Queens Blvd Fl 2 Forest Hills
Studio Spine For Iyengar Yoga,(917) 558-7423,55 Christopher St Fl 2 Manhattan
Overflow Yoga,(718) 865-8568,433 7th Ave Brooklyn
Yoga Studio 6,(929) 312-0260,2728 Thomson Ave Work Studio 6 Long Island City
Lilian Yoga,(929) 344-1871,Brooklyn
Om Factory,(212) 353-3500,873 Broadway New York
Prospect Heights Yoga,(718) 857-0520,184 Underhill Ave Brooklyn
Love Child Yoga,(646) 494-4251,1 Horatio St New York
Studio Square S,(917) 745-7203,165-19 Northern Blvd Fl 2 Flushing
Shambhala Yoga and Dance Center,(718) 638-1111,367 St Marks Ave Brooklyn
Bhati Ascended Wellness,(646) 220-3919,169 Wythe Ave Ste 103 Brooklyn
YogaSole,(718) 635-1958,254 Windsor Pl Brooklyn
Yogashakti Yoga Center,(718) 529-2153,114-41 Lefferts Blvd South Richmond Hill
Rachel Bennett Yoga,(917) 538-1949,131 W 72nd St New York
Yoga With Sandhya Kaurwar,(718) 864-5777,7611 37th Ave Jackson Heights
Three Sisters Yoga,(314) 896-4203,545 Eighth Ave Ste 1540 New York
Mind Body Soul Yoga,(917) 636-0197,350 Fort Washington Ave New York
Bamboo Yoga,(347) 572-8927,107-40 Queens Blvd Ste 206 Forest Hills
Breathe Strength,(631) 707-2942,31-16 36th Ave Astoria
Sacred Souls Yoga Studio,(201) 238-9903,2983 John F Kennedy Blvd Jersey City
Park Slope Yoga Center,(718) 789-2288,837 Union St New York
And Yoga Studios,(917) 498-9300,410 Marcus Garvey Blvd Brooklyn
goodyoga – Williamsburg,(929) 399-4878,628 Metropolitan Ave Brooklyn
Solid Gold Yogi,(917) 754-3446,20 Wyckoff Ave Brooklyn
Juniper Yoga and Healing Arts,(347) 406-7672,639 Vanderbilt Ave Brooklyn
Family Of Light Holistic Center,(718) 928-7771,1 World Trade Ctr Ste 8500
Hunt Parr Yoga,(732) 795-0233,Brooklyn
Tower Fitness NYC,(917) 335-2465,7 Dekalb Ave Brooklyn
Rosie Yoga and Pilates,(646) 247-0319,1974 Bergen St Brooklyn
Excel Yoga Dance and Fitness,(347) 281-9700,3045 Buhre Ave Bronx
Zen and Yoga,(718) 544-9642,107-21 71st Ave 2 Fl Forest Hills
Powerflow Yoga Hoboken,(201) 533-9642,104 Hudson St Hoboken
Iyengar Yoga Institute of Brooklyn,(718) 875-7302,540 Atlantic Ave Brooklyn
Greene Moments Studio,(347) 915-4946,216 Greene Ave Brooklyn
Joy Radish Yoga,(860) 977-7972,Brooklyn
Yogis and Yoginis,(718) 965-2380,432 6th Ave Brooklyn
Kore Pilates,(718) 366-1200,64-20 Fresh Pond Rd Ridgewood
SYNCStudio BKLYN,(718) 438-4725,133 S 2nd St New York
Yoga Tribe Brooklyn,(718) 399-3369,1120 Washington Ave Brooklyn
Thai Brooklyn,(347) 391-8562,97 Green St Brooklyn
Breathe Salt Rooms,(212) 956-5920,2 W 46th St Ste 806 Better Health Chiropractic New York
Mimi For Me Yoga Wellness Boutique and Studio,(718) 505-9642,108-12 72nd Ave Ground Level New York
Powerflow Yoga Jersey City,(201) 433-2032,160 Morgan St Ste 5 Jersey City
Hari NYC,(212) 465-0606,140 W 30th St Manhattan
Urban Sadhu Yoga Jersey City,(917) 455-8810,171 Newark Ave Fl 2 Jersey City
Yoga By Jocelyn,(617) 650-1510,505 W 37th St New York
Inhale NYC,(305) 767-3737,New York
New York Yoga,(212) 717-9642,1629 York Ave New York
Standard Dose,(212) 547-9453,1145 Broadway New York
Erika Lynn,(206) 351-3463,Manhattan
Pilates Shop Yoga Garage,(212) 316-9164,2805 Broadway New York
In Light Wellness Retreats,(347) 259-0587,416 E 71st St Manhattan
The Yoga Adventure,(917) 767-1761,192 Spring St New York
Clarity Fitness,(201) 293-2786,3515 Park Ave Union City
Beloved World Yoga,(201) 714-9642,317 Central Ave Jersey City
Prana Hot Yoga,(917) 929-9642,164-3 Northern Blvd Fl 2 Flushing
Urban Yoga Foundation,(917) 710-5437,549 W 152nd St harlem
Soho Sanctuary,(212) 334-5550,119 Mercer St New York
Alo Yoga,(347) 394-2770,164 5th Ave New York
The Exercise Studio,(718) 373-3747,2073 86th St Brooklyn
Fithouse Tribeca,(855) 427-6753,93 Worth St New York
Yoga and Melody,(718) 948-0245,3173 Richmond Rd Staten Island
Alana Life and Fitness,(718) 748-7700,530 86th St Fl 3 Loft Brooklyn
Hot Spot Yoga,(718) 484-9660,28 Dooley St Fl 4 Brooklyn
Cobble Hill Yoga,(718) 522-2019,39 Wyckoff St Brooklyn
Light in Yoga,(718) 288-3616,Staten Island
The Yoga Collective,(484) 410-5837,135 W 29th St Rm 603 New York
J Train,(212) 255-2570,505 Greenwich St Ground Floor New York
Sweet Water Dance and Yoga,(718) 285-9712,876 Gerard Ave Fl 2 Bronx
Medicine for the Soul Yoga,(929) 390-8720,316 East 84th St New York
YogaNorma,(212) 288-8221,238 E 75th St Fl 1 PE Studio New York
Body and Brain Yoga Tai Chi – Bay Ridge,(718) 765-0099,8206 3rd Ave Brooklyn
Honor Yoga Hoboken,(201) 579-3114,720 Monroe St Ste E404 Hoboken
Len3a,(347) 248-5020,1156 Bedford Ave Brooklyn
Urban Souls,(201) 683-4002,100 Hudson St Fl 4 Hoboken
Buddha Body Yoga,(917) 553-7710,1133 Broadway New York
Surya Yoga Academy,(201) 798-7498,341 Grove St Fl 2 Jersey City
Bamboo Moves Palisades Park,(201) 346-0010,261 Broad Ave Palisades Park
NEOU,(646) 484-5984,420 Fifth Ave New York
OmmVibe,(646) 598-6938,1273 Bay Ridge Ave Brooklyn
Spencer Pilates Arts,(718) 261-0596,108-12 72nd Ave Fl 4 Forest Hills
Yoga In Daily Life,(917) 930-6569,25-33 154th St Flushing
Sage Fitness,(212) 982-5756,139 Fulton St Ste 719 New York
Pure Life Movement Studio,(929) 417-2220,7217 13th Ave Brooklyn
Art of Living – Jersey City,(732) 762-4275,189 Brunswick St Jersey City
Flex Hot Yoga,(718) 279-9642,221-50 Horace Harding Expy Bayside
Hoboken Hatha Yoga – Relaxation Guaranteed,(855) 964-2123,1005 Washington St Fl 1 Hoboken
Issara Yoga,(929) 434-3785,New York
barre3 – Long Island City,(718) 707-9436,44-16 23rd St Long Island City
healme,(518) 589-3049,44-02 23rd St Ste 516 Long Island City
ISH Yoga,(917) 209-9096,155 E 105th St Fl 2 New York
barre3 – West Village,(212) 228-9606,63 W 8th St Fl 2 New York
Asana Soul Practice – Hoboken Studio,(201) 792-5254,411 Jefferson St Hoboken
Body and Brain Yoga Tai Chi – Bronx,(718) 892-1100,1805 Williamsbridge Rd Fl 2 Bronx
Solar Yoga Ashram,(646) 893-9359,373 9th St Brooklyn
HotYoga4YouRegoPark,(718) 275-2100,6507 Woodhaven Blvd Rego Park
Jewel City Yoga,(718) 483-9098,660 Franklin Ave Brooklyn
Peace Place,(917) 642-1512,4 Alice Ct Ground Fl Brooklyn
Wild Free Yogi Studio,(929) 451-9946,60-31 Myrtle Ave Ridgewood
Kundalini Yoga East,(212) 982-5959,873 Bdwy Ste 614 New York
Williamsburg Wellness Center,(718) 916-7492,42A Dobbin St New York
Cosmic Fit Club,(347) 670-0019,21-36 44th Rd Queens
Alo Yoga,(646) 350-4844,96 Spring St New York
Sattva Yoga,(201) 839-5242,523 Palisade Ave Jersey City
Modern Martial Arts,(212) 587-1099,78 Reade St Manhattan
Bikram Yoga NYC,(212) 245-2525,797 8th Ave Fl 4 New York
Harmonized-NY,(917) 379-3439,Queens
ZenSpace,(201) 417-8077,450 7th St Ste LL2 and 3A Hoboken
Unnata Aerial Yoga,(848) 628-4434,163 Bleecker St Fl 2 New York
Crude Culture,(201) 201-1555,264 Newark Ave Fl 2
Oscar Center,(646) 350-2715,408 Jay St Fl 4 Brooklyn
